scorer,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick
bodyparts,TS,TS,S1,S1,S2,S2,T1,T1,T2,T2,T3,T3,T4,T4
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/01042/img004.png,528.1580375576427,275.2792911797456,509.5042268254954,247.11569458415073,498.53139698305586,233.2167767837273,484.6324791826325,214.56296605158,469.63627839796504,195.54339432468478,453.90855562380165,175.7923006082936,438.5465938443863,155.67544589715445
labeled-data/01042/img006.png,528.301592216635,275.0521274762218,508.22392618350443,246.26151203248756,497.61685733581294,231.86620431062042,482.81659994118905,212.7225351033643,466.98110830250175,191.65862067368118,451.524440551232,172.03489016081826,436.64907152375804,153.2700448409797
labeled-data/01042/img012.png,526.9278494376554,275.17583306980265,509.4366361530998,246.24805725303787,499.0091820796149,232.45690831713839,483.19981622626665,213.9565865738586,468.3995588316428,194.11078688561298,452.9265624645361,174.9377261698503,438.12630506991235,153.74644853663887
labeled-data/01042/img017.png,523.4638348252618,272.92326785786184,512.0011465077133,246.1769951169154,499.68937016664273,232.1670427288006,481.4339776609174,213.4871062113142,464.87676120223625,192.68444963502253,451.71589683764364,174.0045131175361,438.1304884612898,150.65459247067812
labeled-data/01042/img019.png,508.09578247213904,273.2845874691022,513.1249961499238,247.06083043493857,508.8142415689655,231.25473030475777,490.13430505147903,213.65248243251096,471.45436853399264,197.1279232055038,454.57057975857225,180.6033639784966,436.6091023379123,157.971902428465
labeled-data/01042/img028.png,472.5536795323235,197.7855092224899,485.72107534325096,227.41214979707672,498.3398296620565,248.2605264977119,523.0286968075454,254.56990365711465,536.4704133645339,235.36745143284543,523.5773382996674,214.51907473221024,496.96822593175153,202.9976033976487
labeled-data/01042/img029.png,467.27560795201407,192.78856088959904,485.59304919791987,224.32238379394317,497.88196547681866,243.7991567642734,521.9960653448466,255.62434035340243,540.7772392805222,241.71235966030943,530.5751201055873,217.59825979228157,505.76542120290475,205.07747716849786
labeled-data/01042/img030.png,460.1661971967867,191.48527608795587,483.6794040020143,217.93763374383695,496.9055828299548,238.2667604608567,517.479638784529,256.63645327744075,542.217491777529,251.24801005124274,543.1972087277467,227.73480324601513,523.1130112482815,207.65060576654986
