scorer,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick,jwidrick
bodyparts,TS,TS,S1,S1,S2,S2,T1,T1,T2,T2,T3,T3,T4,T4
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/01072/img003.png,794.2350173897639,766.7382318985304,798.3204370721724,724.9761640339123,800.1361791532427,703.187259061068,804.221598835651,674.5893212842099,806.9452119572566,644.1756414262815,810.1227605991296,615.5777036494231,814.2081802815379,581.9864751496217
labeled-data/01072/img006.png,792.8003231535882,766.2394906564062,797.4703072829599,723.7426350791247,800.2722977605829,702.7277064969525,803.541286651143,675.1748001336601,806.8102755417032,646.6878969444932,809.6122660193261,617.7339953423894,813.3482533228233,581.7751175462281
labeled-data/01072/img020.png,773.7594883031501,754.6408176261675,800.5122924904313,726.2159631771813,811.3806191915144,706.5693726021466,811.3806191915144,677.3084930223077,808.4545312335304,648.8836385733214,805.1104307101202,623.8028846477453,803.0203678829889,596.2140553296115
labeled-data/01072/img021.png,765.0341160816175,743.0054378675272,800.5488555270135,725.8603912387155,816.0610405721288,709.1235600058278,815.2446097802807,681.7731284789137,809.9378096332675,656.0555585356959,804.2227940903302,629.1133424047059,798.507778547393,602.1711262737158
labeled-data/01072/img022.png,759.6640523454055,728.7061424067816,800.0283906943796,727.0242949755743,817.8559734651765,714.5786239846407,821.219668327591,689.6872820027733,812.8104311715547,661.7686146447329,804.0648245292771,635.5317947178999,793.9737399420335,604.5858019836862
labeled-data/01072/img023.png,761.1512528786668,712.7554360547484,798.6417548403352,726.6837453636783,817.4784460698565,722.9836810150224,825.8876832258927,697.4196000606721,815.7965986386492,668.1554547576659,804.36003610644,641.9186348308326,792.5871040879891,612.6544895278264
labeled-data/01072/img028.png,803.2392758383454,664.3350811675234,792.1358170692101,700.9764951056698,792.4134035384386,720.1299614824281,816.8410128305363,733.1765255361622,832.9410280457823,710.4144350594349,821.8375692766471,685.4316528288804,802.1289299614319,656.5626600291287
labeled-data/01072/img033.png,777.131484633856,638.0433970914779,798.3260279902347,672.170204190732,801.9183234743667,690.8501407082184,798.6852575386479,719.5885045812743,802.9960121196063,748.3268684543305,831.0159168958359,750.4822457448096,845.7443283807771,722.8215705169932
